fu_xing_men,1,2,3
,2,1,3
xi_dan,1,4,7
,4,1,7
jun_shi_bo_wu_guan,1,9,5
,9,1,5
guo_mao,1,10,6
,10,1,6
si_hui_dong,1,ba_tong,1
,ba_tong,1,1
xuan_wu_men,2,4,3
,4,2,3
chong_wen_men,2,5,4
,5,2,4
che_gong_zhuang,2,6,3
,6,2,3
dong_zhi_men,2,13,9
,13,2,9
,2,ji_chang,8
,ji_chang,2,8
,13,ji_chang,4
,ji_chang,13,4
cai_shi_kou,4,7,3
,7,4,3
hai_dian_huang_zhuang,4,10,3
,10,4,3
dong_si,5,6,3
,6,5,3
hui_xin_xi_jie_nan_kou,5,10,3
,10,5,3
li_shui_qiao,5,13,3
,13,5,3
bai_shi_qiao_nan,6,9,2
,9,6,2
hu_jia_lou,6,10,3
,10,6,3
bei_jing_xi,7,9,3
,9,7,3
huo_ying,8,13,5
,13,8,5
zhu_xin_zhuang,8,chang_ping,3
,chang_ping,8,3
qi_li_zhuang,9,14_west,3
,14_west,9,3
zhi_chun_lu,10,13,5
,13,10,5
xi_ju,10,14_west,2
,14_west,10,2
wang_jing_xi,13,15,10
,15,13,10
wang_jing,14_east,15,6
,15,14_east,6
jian_guo_men,1,2,2
,2,1,2
dong_dan,1,5,4
,5,1,4
gong_zhu_fen,1,10,1
,10,1,1
si_hui,1,ba_tong,1
,ba_tong,1,1
xi_zhi_men,13,4,7
,4,13,7
,13,2,7
,2,13,7
,2,4,3
,4,2,3
yong_he_gong,2,5,3
,5,2,3
chao_yang_men,2,6,2
,6,2,2
gu_lou_da_jie,2,8,5
,8,2,5
ping_an_li,4,6,6
,6,4,6
guo_jia_tu_shu_guan,4,9,3
,9,4,3
jiao_men_xi,4,10,3
,10,4,3
ci_qi_kou,5,7,3
,7,5,3
song_jia_zhuang,5,10,3
,10,5,3
,5,yi_zhuang,3
,yi_zhuang,5,3
,10,yi_zhuang,3
,yi_zhuang,5,3
nan_luo_gu_xiang,6,8,2
,8,6,2
ci_shou_si,6,10,3
,10,6,3
jin_tai_lu,6,14_east,4
,14_east,6,4
bei_tu_cheng,8,10,3
,10,8,3
ao_lin_pi_ke_gong_yuan,8,15,4
,15,8,4
liu_li_qiao,9,10,3
,10,9,3
guo_gong_zhuang,9,fang_shan,3
,fang_shan,9,3
gong_yi_xi_qiao,4,da_xing,0
,da_xing,4,0
shao_yao_ju,10,13,5
,13,10,5
san_yuan_qiao,10,ji_chang,3
,ji_chang,10,3
xi_er_qi,13,chang_ping,3
,chang_ping,13,3
